ensembl_gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,external_gene_name,gene_biotype
ENSMUSG00000000631,473.5575087729663,0.24891396078800654,0.464730950567799,0.006623433811827673,0.10449120642059806,Myo18a,protein_coding
ENSMUSG00000050613,132.0772162223637,-0.3092117115559888,0.5483595750087022,0.006620668645990732,0.10449120642059806,Olfr125,protein_coding
ENSMUSG00000050818,326.91785751058,-1.3355300500281029,1.906630871561155,0.006633018322665641,0.10455815839061829,Olfr330,protein_coding
ENSMUSG00000025197,47.20314859935769,0.5086609457473453,0.8062728755046074,0.006662212669634208,0.10493386938543726,Cyp2c23,protein_coding
ENSMUSG00000047976,97.91002510653261,-0.5861873996831007,0.9026533691720297,0.006699461956130139,0.10543574451536646,Kcna1,protein_coding
ENSMUSG00000044897,105.31776144100353,0.47239897127659997,0.7625165225463425,0.0067066153285599475,0.10546354610646318,Olfr821,protein_coding
ENSMUSG00000070287,85.9412687041794,-0.18179456892446455,0.3677446899130703,0.0067525755217641035,0.1061010622512822,Slc35g2,protein_coding
ENSMUSG00000022217,42.0005156755733,-0.29731383557993474,0.5355163533047818,0.006785387655585107,0.1065311303296273,Emc9,protein_coding
ENSMUSG00000020641,17.501432942349563,-0.5860174516147689,0.9073058130715,0.006830165288564011,0.10714821796434792,Rsad2,protein_coding
ENSMUSG00000031004,1154.560230073039,0.22909407307342516,0.44025492231081154,0.006866871767292129,0.10762448223184286,Mki67,protein_coding
ENSMUSG00000048834,205.47725477893852,-0.10089397461121152,0.2364905272438477,0.006871519194494002,0.10762448223184286,Vstm2a,protein_coding
ENSMUSG00000075069,558.537752896535,-1.3715332019353759,2.0535506645407287,0.0068827537308880585,0.1077142706181666,Olfr1264,protein_coding
ENSMUSG00000043336,68.10349666066547,0.5649196584126166,0.8835535708594128,0.0068908017573616805,0.10775408690545286,Filip1l,protein_coding
ENSMUSG00000069267,129.1414345548369,0.3321723223384696,0.5863654858127049,0.006939705566865521,0.10843220717325872,H3c2,protein_coding
ENSMUSG00000045912,79.16053630413508,0.21505507704295052,0.4210782999262866,0.006966581751308754,0.10876534093071992,C2cd4c,protein_coding
ENSMUSG00000025357,162.19071122419734,-0.12992338653049446,0.2876233208936724,0.007001413701441788,0.10922205374249189,Dgka,protein_coding
ENSMUSG00000111943,19.94767412521621,-0.4175529640241914,0.7042506390352707,0.007127390775054049,0.11109877117357338,Gm47862,TEC
ENSMUSG00000017446,156.2052386662333,0.14477250362512284,0.3138186526142267,0.007153532886860342,0.11141755517816371,C1qtnf1,protein_coding
ENSMUSG00000069094,125.619769812798,0.24811475294675023,0.47286064574459585,0.00716332847256572,0.11148143468671834,Pde7a,protein_coding
ENSMUSG00000068699,29.536599058395577,0.5582326766301231,0.8858230234544484,0.007196258829612372,0.11190496851957984,Flnc,protein_coding
ENSMUSG00000045792,697.5575883059568,1.2665364308327363,1.8606053011221408,0.0072160257971197826,0.11194560464026236,Olfr578,protein_coding
ENSMUSG00000112641,50.71970503635245,0.4472376059099573,0.7449873474545312,0.007207690810131998,0.11194560464026236,Gm40709,lncRNA
ENSMUSG00000057349,218.95794024107624,0.37769626272428913,0.6538244624581565,0.007214960231982595,0.11194560464026236,Olfr948,protein_coding
ENSMUSG00000047969,49.782127871728555,-1.010157568842293,1.46297398994017,0.007274593773109101,0.11276484314325415,Olfr1093,protein_coding
ENSMUSG00000025196,912.2734958284462,-0.13934958063156455,0.30644455558321354,0.00730766719481829,0.11318790216784216,Cpn1,protein_coding
ENSMUSG00000024232,20.740400423784642,-0.40272573556107355,0.6912032659787191,0.0073827805288142825,0.1142609305874514,Bambi,protein_coding
ENSMUSG00000030898,9.685048530458822,-0.8378644019974497,1.2471678289872439,0.00744825624343361,0.11509231312860554,Cckbr,protein_coding
ENSMUSG00000059883,78.42298382986857,-0.3329378553612511,0.5982261465372851,0.007448059492437264,0.11509231312860554,Irak4,protein_coding
ENSMUSG00000097823,74.07303632762364,-0.3163736795985313,0.5763137149094502,0.007503263343624064,0.1158508594175646,Gm16701,lncRNA
ENSMUSG00000022231,95.85358195708514,0.3430186982718531,0.6134597950873745,0.0075116632855150925,0.1158891598138806,Sema5a,protein_coding
ENSMUSG00000096555,22.35576585399637,-0.8965637188472918,1.327814854623862,0.007531275860630959,0.11610025102317553,Olfr944,protein_coding
ENSMUSG00000071984,91.27594414752367,-0.8095120467221487,1.2174726387658246,0.007578223417223973,0.11673206771236108,Fndc1,protein_coding
ENSMUSG00000028949,89.69689510412701,-0.21916440524731015,0.4364762817983844,0.007593104557256855,0.11686934042608074,Smarcd3,protein_coding
ENSMUSG00000110332,9.188681184538723,-0.9205084059399857,1.3694188332018136,0.007698296246041728,0.11839532121367238,Gm19935,protein_coding
ENSMUSG00000074284,45.95195665882109,-0.2691316080568978,0.5127318762928915,0.007716110863450957,0.11857615265670553,Gm10658,lncRNA
ENSMUSG00000015846,750.2660619077037,0.17290504245101604,0.36600091508798926,0.007732891135798773,0.11874081776993597,Rxra,protein_coding
ENSMUSG00000095903,219.7111487244327,0.5512735830657148,0.9011364405340323,0.00793883165663961,0.12180755969724942,Olfr968,protein_coding
ENSMUSG00000000056,586.7994727313041,0.03396945101627101,0.10670705232503404,0.007970848648133553,0.1222030343251047,Narf,protein_coding
ENSMUSG00000054027,143.52128441626505,-0.16074604443402724,0.34900345353844275,0.007987584858826134,0.12236379997347266,Nt5dc3,protein_coding
ENSMUSG00000022951,542.1804226807484,0.06720413473976602,0.180515924091089,0.008072617148202371,0.12356974083464115,Rcan1,protein_coding
ENSMUSG00000052565,508.46426896431853,0.22594690096314157,0.4541451739698041,0.00810944423274803,0.12403648374120384,H1f3,protein_coding
ENSMUSG00000036863,124.87414307280213,-0.12651089674909283,0.29272528274677656,0.008193774275003313,0.12522850332241597,Syde2,protein_coding
ENSMUSG00000070732,8.023196588330048,0.8744480208717189,1.335539832457228,0.008202392454690913,0.12526243329012376,Rbm44,protein_coding
ENSMUSG00000001517,140.52992971799435,0.2013258130975256,0.4178502654862026,0.008269473561575163,0.12618842820617188,Foxm1,protein_coding
ENSMUSG00000032118,81.95400306406131,-0.41150300121543026,0.7246641819085994,0.008291668707427164,0.12642857473053662,Fez1,protein_coding
ENSMUSG00000063221,66.92714810707294,0.8419600469026371,1.2972179333397964,0.008316692009196085,0.12671143669730814,Olfr930,protein_coding
