"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"137","Smarcb1","ENSMUSG00000000902",1033.098879827,-0.06813861293748,0.311144074869547,-0.218993766685252,0.826654903387917,0.999967202106179
"138","Vpreb3","ENSMUSG00000000903",7.72698123085695,0.314826546722915,0.865881510504519,0.363590794933913,0.71616360157373,0.999967202106179
"139","Hip1r","ENSMUSG00000000915",910.1124056496,-0.0120272725488864,0.284100514965977,-0.0423345679268719,0.966231988757025,0.999967202106179
"140","Nsun5","ENSMUSG00000000916",89.5392350070455,-0.309681404943439,0.37829592644294,-0.818622097930915,0.41300205522901,0.999967202106179
"141","Top1mt","ENSMUSG00000000934",63.1960598954393,-0.735135044949302,0.400800227233572,-1.83416823394387,0.0666290252292727,0.830771395147393
"142","Gm38393","ENSMUSG00000000948",198.799439145007,-0.0228850506002405,0.476232893442406,-0.0480543257623765,0.961672946883375,0.999967202106179
"143","Mmp14","ENSMUSG00000000957",98.1381863984368,-0.299259587318482,0.847776065918707,-0.352993672915481,0.724093183890835,0.999967202106179
"144","Slc7a7","ENSMUSG00000000958",11.3381880759971,0.549982217552304,0.815197628566589,0.674661208864616,0.4998910352053,0.999967202106179
"145","Oxa1l","ENSMUSG00000000959",736.518442523062,-0.146686425599933,0.401410529955342,-0.365427448094727,0.714792355243126,0.999967202106179
"146","Heatr6","ENSMUSG00000000976",1485.57641786561,0.132704139074282,0.274840458486476,0.482840626176629,0.62920890215317,0.999967202106179
"147","Ccl3","ENSMUSG00000000982",18.9924388744603,0.322612966679355,0.691430203691671,0.466587899916529,0.64079474571432,0.999967202106179
"148","Wfdc18","ENSMUSG00000000983",92.6301234980841,0.283792281433771,0.903063799810702,0.314254963484594,0.75332740066693,0.999967202106179
"149","Ilf2","ENSMUSG00000001016",1011.77588266611,0.0749410866187516,0.26283653415406,0.285124314471538,0.775548902608402,0.999967202106179
"150","Chtop","ENSMUSG00000001017",2306.61249260099,0.0475288544789331,0.293426081451648,0.161978970116755,0.871322414575915,0.999967202106179
"151","Snapin","ENSMUSG00000001018",876.769998390851,-0.0116205822013577,0.385326813759798,-0.0301577304936833,0.975941259364328,0.999967202106179
"152","S100a4","ENSMUSG00000001020",2.21434516314279,1.41514531756783,1.68586881932667,0.839416033646697,0.401235889526804,NA
"153","S100a3","ENSMUSG00000001021",41.3432465106258,0.206042104974196,0.544199679495663,0.378614895850629,0.704973859011192,0.999967202106179
