"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"161","Sec24b","ENSMUSG00000001052",2342.6277291098,-0.0131042659847358,0.104513734914405,0.725911445698739,0.999967202106179
"162","N4bp3","ENSMUSG00000001053",32.0702608009416,-0.0788607179149812,0.153772135624457,0.00520492920178965,0.127589051687019
"163","Rmnd5b","ENSMUSG00000001054",480.546025342446,-0.0191518234512667,0.108376493575078,0.544182280984519,0.999967202106179
"164","Nhp2","ENSMUSG00000001056",250.52338110819,-0.0334869835353499,0.107036498274539,0.439291491401576,0.999967202106179
"165","Vps9d1","ENSMUSG00000001062",822.095902307874,0.000572622233483013,0.104353724037878,0.991148744300818,0.999967202106179
"166","Zfp276","ENSMUSG00000001065",335.3179632681,-0.0150576322034852,0.103146271057224,0.709585677256107,0.999967202106179
"167","Mfsd10","ENSMUSG00000001082",457.308060207598,0.00610779610543045,0.107229889147151,0.835078590071486,0.999967202106179
"168","Luzp1","ENSMUSG00000001089",152.494177263055,0.0230060926249054,0.111436777463908,0.372067214724494,0.999967202106179
"169","Slc13a2","ENSMUSG00000001095",3.22322798724317,0.00698683144518755,0.111311849863482,0.273355124822203,0.999967202106179
"170","Kctd10","ENSMUSG00000001098",211.319040269589,-0.0228979357814054,0.10713115412435,0.53402647799341,0.999967202106179
"171","Poldip2","ENSMUSG00000001100",614.895845661709,0.0111350561273656,0.10176010043295,0.795555778973166,0.999967202106179
"172","Sebox","ENSMUSG00000001103",3.46028795826174,0.0106784089682878,0.111538467736775,0.254558437714425,0.999967202106179
"173","Ift20","ENSMUSG00000001105",1258.57437373397,0.00110178335900608,0.100216598967857,0.980178860381374,0.999967202106179
"174","Col6a1","ENSMUSG00000001119",23.169409823862,0.00713809909246781,0.110155254857284,0.676540014097731,0.999967202106179
"175","Pcbp3","ENSMUSG00000001120",1313.75952070922,0.0224818496431932,0.107817091033202,0.526035215725072,0.999967202106179
"176","Lgals9","ENSMUSG00000001123",34.6954354738061,-0.0291102053403513,0.115524021687689,0.0910791477675898,0.997559888532212
"177","Araf","ENSMUSG00000001127",1358.11443661122,0.010680306620978,0.102405977707773,0.794489710348585,0.999967202106179
"178","Cfp","ENSMUSG00000001128",118.583739165887,0.00760404803366232,0.108915053636885,0.747865137856438,0.999967202106179
"179","Timp1","ENSMUSG00000001131",61.9415316856915,0.00776597062723897,0.110142515601725,0.660037860005514,0.999967202106179
"180","Uxt","ENSMUSG00000001134",79.5796108974988,0.0132472740747435,0.106322073158046,0.697790117296557,0.999967202106179
"181","Cnnm3","ENSMUSG00000001138",304.027288071606,-0.000153919045212932,0.104431443687794,0.994123010819611,0.999967202106179
"182","Lman2l","ENSMUSG00000001143",5389.36009109653,-0.0129535566611988,0.105922559548989,0.706418521005158,0.999967202106179
"183","Mcm3ap","ENSMUSG00000001150",1228.03676790173,-0.0017997745225501,0.100409849748368,0.964628518046,0.999967202106179
"184","Pcnt","ENSMUSG00000001151",888.014291398758,0.00831487336014964,0.106974127132125,0.787360356222802,0.999967202106179
"185","Mxd1","ENSMUSG00000001156",1081.38580760861,0.0443950375414423,0.106883520367255,0.380001978601342,0.999967202106179
"186","Gmcl1","ENSMUSG00000001157",763.964014595496,-0.00637852105245973,0.103036581070368,0.872560943138143,0.999967202106179
"187","Snrnp27","ENSMUSG00000001158",615.911070499321,-0.0100582932766449,0.100157418246947,0.818524330876928,0.999967202106179
"188","Oas1c","ENSMUSG00000001166",31.4170576768811,-0.0117072730891799,0.109314935102405,0.619773112329462,0.999967202106179
"189","Ocrl","ENSMUSG00000001173",2264.34519537912,-0.0704524532822403,0.129341284615027,0.134462072246797,0.999967202106179
"190","Calm1","ENSMUSG00000001175",94412.0527098505,0.0102363496836329,0.104486707325857,0.786203324614907,0.999967202106179
"191","Agpat3","ENSMUSG00000001211",6076.80233371221,0.0231494392514609,0.104350741486211,0.585735383588801,0.999967202106179
"192","Slc26a3","ENSMUSG00000001225",1.70691137173673,-0.00736950288818931,0.111361076147714,0.241777796054004,NA
"193","Sema6b","ENSMUSG00000001227",106.430002709367,0.0113055115204145,0.107793422542597,0.698895960869084,0.999967202106179
"194","Uhrf1","ENSMUSG00000001228",141.336995496524,0.0266113035305502,0.113927077952788,0.19648804713537,0.999967202106179
"195","Dpp9","ENSMUSG00000001229",803.532760125582,-0.00279549550500833,0.104903925379221,0.933454685496779,0.999967202106179
"196","Ramp2","ENSMUSG00000001240",4.50228260240836,-0.000501235940093453,0.110870448044088,0.946480550509709,0.999967202106179
